DateTime,Outdoor global irradiation(W m⁻²),Outdoor air temperature(°C),Outdoor vapor concentration(kg m⁻³),Outdoor CO2 concentration(kg{CO2} m⁻³{air}),Outdoor wind speed(m s⁻¹),Sky temperature(°C),Temperature of external soil layer (°C),Daily light sum (MJ m⁻² day⁻¹),Elevation (m),Outdoor vapor pressure (Pa)
724277.0416666666,0,-1.1,0.003098213537636115,0.0008082934687657957,0.0,-14.436906349687433,8.567724779024584,5.5584,35.0,1.3911488586654628e-07
724277.0833333334,0,-1.9,0.0030150961010848285,0.0008106773757704503,0.0,-15.204229956164454,8.563161637360711,5.5584,35.0,1.2803949998277372e-07
724277.125,0,-2.6,0.0029918762368519197,0.0008127748592782655,1.5,-15.97846311053405,8.55860071783518,5.5584,35.0,1.2096382995458386e-07
724277.1666666666,0,-3.2,0.002945355747497929,0.0008145813601694191,0.0,-16.759752756168382,8.554042022794407,5.5584,35.0,1.1414632209630375e-07
724277.2083333334,0,-3.7,0.0029549774003911535,0.0008160929232797724,0.0,-17.284607600902348,8.549485554583654,5.5584,35.0,1.1053027135218304e-07
724277.25,0,-4.2,0.0028877011872331937,0.0008176101066284985,0.0,-17.812712361092508,8.544931315547045,5.5584,35.0,1.0423522683434994e-07
724277.2916666666,0,-5.0,0.0028632278716869152,0.0008200493685539239,0.0,-18.61106696063706,8.54037930802755,5.5584,35.0,9.759611720481885e-08
724277.3333333334,40,-4.0,0.0030756409000328795,0.0008170025568557856,0.0,-17.284607600902348,8.535829534367004,5.5584,35.0,1.1261389221375075e-07
724277.375,152,0.0,0.00348837429671583,0.0008050383971361329,1.0,-13.173004087586833,8.531281996906063,5.5584,35.0,1.6901048936093975e-07
724277.4166666666,235,2.5,0.0031590898680420895,0.0007977371238082158,0.7,-10.943364102196256,8.526736697984266,5.5584,35.0,1.8145179626120337e-07
724277.4583333334,235,5.0,0.0028496585183801935,0.0007905670975291559,0.5,-8.769193953872843,8.522193639939982,5.5584,35.0,1.9334651598516192e-07
